,RecipientEntityKey,RecipientEntityID,EntityPrefix,EntityType,RecipientName,IsNotRegistered,DoNotUse,IsDissolved,FullName,LastName,FirstName,MiddleInitial,RecipientAddress,RecipientCity,RecipientState,RecipientZip,IsContributingEntity,IsRecipientEntity,SupportCandidateEntityKey,IsCurrentExecutiveBranch,ContributorTypeGroup,ContributorTypeGroupDesc
460,6604,08CAC01263,CAC,Candidate Committee,CHRIS TRIBULATO FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
461,6605,08CAC01264,CAC,Candidate Committee,KURT KRUGENUD FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
462,6606,08CAC01265,CAC,Candidate Committee,SCOTT PETERS FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,21849,False,PCB,"Party, Candidate or Ballot Question Commitee"
463,6607,08CAC01266,CAC,Candidate Committee,MARK WALENZ FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
464,6608,08CAC01267,CAC,Candidate Committee,PATRICIA HUFF FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
465,6609,08CAC01268,CAC,Candidate Committee,GAYLENE STUPIC FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
466,6610,08CAC01269,CAC,Candidate Committee,KERRI KRETINA FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
467,6611,08CAC01270,CAC,Candidate Committee,JIM MULLEN FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
468,6612,08CAC01271,CAC,Candidate Committee,DORREL NUTTER FOR LEARNING COMMUNITY,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
469,6613,08CAC01272,CAC,Candidate Committee,SCOTT HOUGHTALING FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
470,6614,08CAC01273,CAC,Candidate Committee,GEORGE THOMPSON FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
471,6615,08CAC01274,CAC,Candidate Committee,CHUCK FREDERICK FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
472,6616,08CAC01275,CAC,Candidate Committee,KATHY SANIUK FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
473,6617,08CAC01276,CAC,Candidate Committee,HARVEY WILTSEY FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
474,6618,08CAC01277,CAC,Candidate Committee,DAVID SANBORN FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
475,6619,08CAC01278,CAC,Candidate Committee,R GUNNY VAN VYNK FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
476,6620,08CAC01279,CAC,Candidate Committee,JON OTT FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
477,6621,08CAC01280,CAC,Candidate Committee,DAVID WEES FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
478,6622,08CAC01281,CAC,Candidate Committee,GARY MIXAN FOR BELLEVUE CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LYONS,NE,68038,,1,25244,False,PCB,"Party, Candidate or Ballot Question Commitee"
479,6623,08CAC01282,CAC,Candidate Committee,SALLY MCGUIRE FOR GRETNA MAYOR,1.0,,,,,,,NOT A REGISTERED COMMITTEE,FREMONT,NE,68026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
480,6624,08CAC01283,CAC,Candidate Committee,LOREN FOGED FOR GRETNA CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,FREMONT,NE,68026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
481,6625,08CAC01284,CAC,Candidate Committee,JEFFREY WOLLENBURG FOR GRETNA CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,FREMONT,NE,68026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
482,6626,08CAC01285,CAC,Candidate Committee,RONALD SHEEHAN FOR LAVISTA CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,GRETNA,NE,68018,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
483,6627,08CAC01286,CAC,Candidate Committee,MIKE CRAWFORD FOR LAVISTA CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,GRETNA,NE,68018,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
484,6628,08CAC01287,CAC,Candidate Committee,ANTHONY GOWAN FOR LAVISTA CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,GRETNA,NE,68018,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
485,6629,08CAC01288,CAC,Candidate Committee,RALPH HEALEY FOR LAVISTA CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,GRETNA,NE,68018,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
486,6630,08CAC01289,CAC,Candidate Committee,JAMES GLOVER FOR PAPILLION CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68523,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
487,6631,08CAC01290,CAC,Candidate Committee,BRIAN LIESVELD FOR PAPILLION CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68523,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
488,6632,08CAC01291,CAC,Candidate Committee,JAN HUFF FOR PAPILLION CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68525,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
489,6633,08CAC01292,CAC,Candidate Committee,TJ HIENNERT FOR PAPILLION CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68525,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
490,6634,08CAC01293,CAC,Candidate Committee,BOB STUBBE FOR PAPILLION CITY COUNCIL,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68525,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
491,6635,08CAC01294,CAC,Candidate Committee,PAT JONES FOR BELLEVUE SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
492,6636,08CAC01295,CAC,Candidate Committee,DENISE SEAMAN FOR BELLEVUE SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
493,6637,08CAC01296,CAC,Candidate Committee,LISA RYBAR FOR BELLEVUE SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
494,6638,08CAC01297,CAC,Candidate Committee,ROGER SNOWDEN FOR MILLARD SCHOOL BOARD,,,,,,,,NOT A REGISTERED COMMITTEE,MILLARD,NE,68425,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
495,6639,08CAC01298,CAC,Candidate Committee,ANDREW THILL FOR MILLARD SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,MILLARD,NE,68425,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
496,6640,08CAC01299,CAC,Candidate Committee,LYNLEE MEDHI FOR MILLARD SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,MILLARD,NE,68425,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
497,6641,08CAC01300,CAC,Candidate Committee,GENE KELLY FOR PAPILLION SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,MCGREW,NE,69353,,1,5018,False,PCB,"Party, Candidate or Ballot Question Commitee"
498,6642,08CAC01301,CAC,Candidate Committee,MARY FINDLAY FOR PAPILLION SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,DANBURY,NE,69026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
499,6643,08CAC01302,CAC,Candidate Committee,VALERIE FISHER FOR PAPILLION SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,DANBURY,NE,69026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
500,6644,08CAC01303,CAC,Candidate Committee,BILL GESS FOR PAPILLION SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,DANBURY,NE,69026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
501,6645,08CAC01304,CAC,Candidate Committee,MIKE WEAVER FOR PAPILLION SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,DANBURY,NE,69026,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
502,6646,08CAC01305,CAC,Candidate Committee,RONALD JOHNS FOR GRETNA SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINWOOD,NE,68036,,1,10047,False,PCB,"Party, Candidate or Ballot Question Commitee"
503,6647,08CAC01306,CAC,Candidate Committee,DAVID GULIZIA FOR GRETNA SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,ZIP NOT VALID,NE,68125,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
504,6648,08CAC01307,CAC,Candidate Committee,MIKE MEYER FOR GRETNA SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,ZIP NOT VALID,NE,68246,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
505,6649,08CAC01308,CAC,Candidate Committee,RICK HOLLENDIECK FOR GRETNA SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
506,6650,08CAC01309,CAC,Candidate Committee,BRENDA SHERMAN FOR SOUTH SARPY SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
507,6651,08CAC01310,CAC,Candidate Committee,SUSAN PEPLOW FOR SOUTH SARPY SCHOOL BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
508,6652,08CAC01311,CAC,Candidate Committee,JIM ENRIGHT FOR OMAHA SUB,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
509,6653,08CAC01312,CAC,Candidate Committee,VOKAL FOR MAYOR,,,1.0,,,,,119 SOUTH 51ST STREET,OMAHA,NE,68132,1.0,1,48656,False,PCB,"Party, Candidate or Ballot Question Commitee"
510,6654,08CAC01313,CAC,Candidate Committee,JERRY RYAN FOR SARPY CO COMMISSIONER,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,43439,False,PCB,"Party, Candidate or Ballot Question Commitee"
511,6655,08CAC01314,CAC,Candidate Committee,PATRICK THOMAS FOR SARPY CO COMMISSIONER,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68130,,1,44447,False,PCB,"Party, Candidate or Ballot Question Commitee"
512,6656,08CAC01315,CAC,Candidate Committee,RICH HURLEY FOR MUD BOARD,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68104,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
513,6657,08CAC01316,CAC,Candidate Committee,RICHARD ALCALA FOR LEARNING COMMUNITY #6,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68130,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
514,6658,08CAC01317,CAC,Candidate Committee,FRIENDS FOR CRYSTAL RHOADES,,,1.0,,,,,4565 SHIRLEY STREET,OMAHA,NE,68106,,1,9117,False,PCB,"Party, Candidate or Ballot Question Commitee"
515,6659,08CAC01318,CAC,Candidate Committee,FRIENDS OF CHRIS JERRAM,,,,,,,,4740 HICKORY STREET,OMAHA,NE,68106,1.0,1,43358,False,PCB,"Party, Candidate or Ballot Question Commitee"
516,6660,08CAC01319,CAC,Candidate Committee,CITIZENS TO ELECT BRIAN BUESCHER,,,1.0,,,,,1322 S. 35TH AVENUE,OMAHA,NE,68105,,1,9118,False,PCB,"Party, Candidate or Ballot Question Commitee"
517,6661,08CAC01320,CAC,Candidate Committee,STEINER FOR DOULAS COUNTY COMMISSIONER,,,,,,,,6255 NORTHERN HILLS DRIVE,OMAHA,NE,68152,,1,8805,False,PCB,"Party, Candidate or Ballot Question Commitee"
518,6662,08CAC01321,CAC,Candidate Committee,JAYNE SNYDER FOR CITY COUNCIL,,,,,,,,810 LAKEWOOD DRIVE,LINCOLN,NE,68510,1.0,1,9120,False,PCB,"Party, Candidate or Ballot Question Commitee"
519,9124,08IRC00484,IRC,Independent Reporting Committee,CAMPAIGN FOR NEBRASKAS FUTURE,,,1.0,,,,,1345 B STREET #1,LINCOLN,NE,68502,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
520,9125,08IRC00485,IRC,Independent Reporting Committee,CA TRUCKING ASSOCIATION,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68138,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
521,9126,08IRC00486,IRC,Independent Reporting Committee,NAPS PAC (NE ALLIANCE FOR THE PRIVATE SECTOR),,,,,,,,"9850 NICHOLAS STREET, SUITE 305",OMAHA,NE,68114,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
522,9127,08IRC00490,IRC,Independent Reporting Committee,NEBRASKANS FOR A BETTER TOMORROW,,,1.0,,,,,1610 N STREET #100,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
523,9128,08IRC00491,IRC,Independent Reporting Committee,NEBRASKANS FOR FISCAL ACCOUNTABILITY,,,,,,,,P.O. BOX 531,NORFOLK,NE,68702,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
524,9129,08IRC00492,IRC,Independent Reporting Committee,CITIZENS FOR A BETTER TOMORROW,,,1.0,,,,,"1120 K STREET, SUITE 200",LINCOLN,NE,68508,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
525,9133,08PAC00156,PAC,Political Action Committee,AIA-AMERICAN INSTITUTE OF ARCHITECTS PAC,,,,,,,,335 N 8TH STREET,LINCOLN,NE,68508,1.0,1,-10,False,PAC,Political Action Committee
526,9134,08PAC00157,PAC,Political Action Committee,NE LEAGUE OF CONSERVATION VOTERS,,,1.0,,,,,2436 N 48TH STREET,LINCOLN,NE,68504,1.0,1,-10,False,BLO,"Business, Corporation or Labor Union"
527,9135,08PAC00159,PAC,Political Action Committee,MILLARD EDUCATION ASSOCIATION PAC,,,,,,,,4204 S. 57TH STREET,OMAHA,NE,68117,1.0,1,-10,False,PAC,Political Action Committee
528,9142,09BQC00237,BQC,Ballot Question Committee,KEEP IMPROVING DISTRICT SCHOOLS TASK FORCE,1.0,,,,,,,NOT REGISTERED,VALPARAISO,NE,68065,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
529,9143,09BQC00239,BQC,Ballot Question Committee,BLUEJAY BOND COMMITTEE,1.0,,,,,,,636 N. 23RD STREET,ASHLAND,NE,68003,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
530,9144,09BQC00240,BQC,Ballot Question Committee,SAVE OUR NEIGHBORHOOD SCHOOLS,,,,,,,,401 EAST AVENUE,HOLDREGE,NE,68949,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
531,9145,09BQC00241,BQC,Ballot Question Committee,LOUISVILLE BOND COMMITTEE,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LOUISVILLE,NE,68037,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
532,9146,09BQC00242,BQC,Ballot Question Committee,COMMITTEE FOR STUDENTS & A POSTIVE FUTURE,,,,,,,,3810 AVENUE A; PO BOX 759,KEARNEY,NE,68848,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
533,9147,09BQC00243,BQC,Ballot Question Committee,CITIZENS ACTIVELY RESPONDING TO EDUCATIONAL NEEDS,,,,,,,,615 WEST AVENUE,HOLDREGE,NE,68949,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
534,9148,09BQC00244,BQC,Ballot Question Committee,CITIZENS FOR RESPONSIBLE SPENDING,,,,,,,,193 HAYTHORN DRIVE,ARTHUR,NE,69121,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
535,9149,09BQC00245,BQC,Ballot Question Committee,OGALLALA STUDENTS & COMMUNITY COMMITTEE,,,1.0,,,,,135 SPYGLASS CIRCLE PO BOX 374,OGALLALA,NE,69153,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
536,9150,09BQC00247,BQC,Ballot Question Committee,OUR KIDS FIRST,,,1.0,,,,,206 SOUTH 13TH STREET,ORD,NE,68862,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
537,9151,09BQC00248,BQC,Ballot Question Committee,PAXTON KIDS FIRST,1.0,,,,,,,NOT A REGISTERED COMMITTEE,,,69115,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
538,9152,09BQC00249,BQC,Ballot Question Committee,SUTTON KID'S FIRST,,,,,,,,110 RD F,SUTTON,NE,68979,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
539,9153,09BQC00250,BQC,Ballot Question Committee,CARE COMMITTEE,,,,,,,,PO BOX 1038,HOLDREGE,NE,68949,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
540,9154,09BQC00251,BQC,Ballot Question Committee,MIDDLE SCHOOL COMMITTEE,1.0,,,,,,,2710 N. NORTH ROAD,GRAND ISLAND,NE,68803,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
541,9155,09BQC00252,BQC,Ballot Question Committee,FRIENDS OF THE SCHOOL,1.0,,,,,,,PO BOX 171,SUPERIOR,NE,68978,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
542,9156,09BQC00253,BQC,Ballot Question Committee,CITIZENS FOR A NEW DIRECTION IN CORRECTIONS,1.0,,,,,,,NOT A REGISTERED COMMITTEE,BEATRICE,NE,68310,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
543,9157,09BQC00254,BQC,Ballot Question Committee,ADAMS CENTRAL PATRONS &TEACHERS FOR STUDENTS 2010,,,,,,,,2706 NORTH BALTIMORE AVE,HASTINGS,NE,68901,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
544,9159,09BQC00256,BQC,Ballot Question Committee,CITIZENS FOR JOBS AND THE LINCOLN HAYMARKET ARENA(,,,,,,,,"134 S. 13TH STREET, SUITE 1200",LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
545,9160,09BQC00257,BQC,Ballot Question Committee,NEIGHBORHOODS FOR COMMUNITY IMPROVEMENTS,,,,,,,,"2111 SOUTH 67TH STREET, SUITE 200",OMAHA,NE,68106,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
546,9162,09CAC01322,CAC,Candidate Committee,JOHN WITZEL ESU 3,1.0,,,,,,,NOT A REGISTERED COMMITTEE,MILLARD,NE,68425,,1,21982,False,PCB,"Party, Candidate or Ballot Question Commitee"
547,9163,09CAC01323,CAC,Candidate Committee,ALAN MOORE ESU 3,,,,,,,,NOT A REGISTERED COMMITTEE,MILLARD,NE,68425,,1,48816,False,PCB,"Party, Candidate or Ballot Question Commitee"
548,9170,09CAC01330,CAC,Candidate Committee,DANIEL TRERICE FOR LEARNING COUNCIL #1,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
549,9171,09CAC01331,CAC,Candidate Committee,AMY BRACHT FOR LEARNING COUNCIL #1,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68506,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
550,9172,09CAC01332,CAC,Candidate Committee,JEANNE ANDERSON FOR LEARNING COUNCIL #1,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
551,9173,09CAC01333,CAC,Candidate Committee,ALPHA MARIE GOOMBI FOR LEARNING COUNCIL #1,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68512,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
552,9174,09CAC01334,CAC,Candidate Committee,TRAVIS FORSMAN FOR LEARNING COUNCIL #2,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
553,9175,09CAC01335,CAC,Candidate Committee,RICHARD TAKECHI FOR LEARNING COUNCIL #3,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68512,,1,43447,False,PCB,"Party, Candidate or Ballot Question Commitee"
554,9176,09CAC01336,CAC,Candidate Committee,MAXWELL FOR CITY COUNCIL,,,,,,,,3835 CALIFORNIA STREET,OMAHA,NE,68131,,1,48395,False,PCB,"Party, Candidate or Ballot Question Commitee"
555,9178,09CAC01338,CAC,Candidate Committee,MARY TRENERRY FOR LEARNING COUNCIL #6,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
556,9179,09CAC01339,CAC,Candidate Committee,KERRI KRATINA FOR LEARNING COUNCIL #6,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
557,9180,09CAC01340,CAC,Candidate Committee,MICHAEL SCHWANG FOR NRD #3,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
558,9181,09CAC01341,CAC,Candidate Committee,SKIP WOLF FOR BENNINGTON MAYOR,1.0,,,,,,,NOT A REGISTERED COMMITTEE,PLATTSMOUTH,NE,68048,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
559,9182,09CAC01342,CAC,Candidate Committee,RONALD WIMPEY FOR BENNINGTON CITY COUNCIL #1,1.0,,,,,,,NOT A REGISTERED COMMITTEE,PLATTSMOUTH,NE,68048,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
560,9183,09CAC01343,CAC,Candidate Committee,DAN MENKE FOR BENNINGTON CITY COUNCIL #2,1.0,,,,,,,NOT A REGISTERED COMMITTEE,PLATTSMOUTH,NE,68048,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
561,9184,09CAC01344,CAC,Candidate Committee,MICHAEL GILLESPIE FOR RALSTON CITY COUNCIL #2,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68132,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
562,9185,09CAC01345,CAC,Candidate Committee,DARREN SIEKMAN FOR BENNINGTON BOARD OF ED #59,1.0,,,,,,,NOT A REGISTERED COMMITTEE,PLATTSMOUTH,NE,68048,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
563,9186,09CAC01346,CAC,Candidate Committee,LYNLEE ANDERSON MEDHI FOR MILLARD BD OF ED#17,1.0,,,,,,,NOT A REGISTERED COMMITTEE,UTICA,NE,68456,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
564,9187,09CAC01347,CAC,Candidate Committee,FREDDIE GRAY FOR OPS #2,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
565,9188,09CAC01348,CAC,Candidate Committee,BARBARA DUTIEL FOR OPS #6,1.0,,,,,,,NOT A REGISTERED COMMITTEE,OMAHA,NE,68132,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
566,9189,09CAC01350,CAC,Candidate Committee,ANDREW NORTHWALL FOR RALSTON BOARD OF ED #54,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68528,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
567,9190,09CAC01351,CAC,Candidate Committee,ROBERT BROWN FOR RALSTON BOARD OF ED #54,1.0,,,,,,,NOT A REGISTERED COMMITTEE,BELLEVUE,NE,68123,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
568,9191,09CAC01352,CAC,Candidate Committee,SUSAN HAAS-TIEHEN FOR RALSTON BOARD OF ED #54,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68521,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
569,9192,09CAC01353,CAC,Candidate Committee,LINDA RICHARDS FOR RALSTON BOARD OF ED #54,1.0,,,,,,,NOT A REGISTERED COMMITTEE,LINCOLN,NE,68504,,1,47460,False,PCB,"Party, Candidate or Ballot Question Commitee"
570,9193,09CAC01355,CAC,Candidate Committee,ROBERT FEIT FOR SCC BOARD,1.0,,,,,,,NOT REGISTERED,LINCOLN,NE,68508,,1,31970,False,PCB,"Party, Candidate or Ballot Question Commitee"
571,9194,09CAC01356,CAC,Candidate Committee,DAN SCHLITT FOR NRD,1.0,,,,,,,NOT REGISTERED,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
